location_code,timestamp,measurement_setup,wavelength,spectral_horizontal_irradiance
AMS,2024-01-15 08:00:00,SETUP1,380,0.15925915722862244
AMS,2024-01-15 08:00:00,SETUP1,385,0.22031955062273575
AMS,2024-01-15 08:00:00,SETUP1,390,0.31733241882062696
AMS,2024-01-15 08:00:00,SETUP1,395,0.38279672183448865
AMS,2024-01-15 08:00:00,SETUP1,400,0.5786846966695278
AMS,2024-01-15 08:00:00,SETUP1,405,0.6833354281239614
AMS,2024-01-15 08:00:00,SETUP1,410,0.9007816717610562
AMS,2024-01-15 08:00:00,SETUP1,415,1.342087369263962
AMS,2024-01-15 08:00:00,SETUP1,420,1.5564231819671388
AMS,2024-01-15 08:00:00,SETUP1,425,2.2342498120246828
AMS,2024-01-15 08:00:00,SETUP1,430,2.8928943426084994
AMS,2024-01-15 08:00:00,SETUP1,435,3.4761268971676453
AMS,2024-01-15 08:00:00,SETUP1,440,4.507776284711505
AMS,2024-01-15 08:00:00,SETUP1,445,5.44282596659398
AMS,2024-01-15 08:00:00,SETUP1,450,6.519135063816022
AMS,2024-01-15 08:00:00,SETUP1,455,8.834288023886295
AMS,2024-01-15 08:00:00,SETUP1,460,9.633851463540632
AMS,2024-01-15 08:00:00,SETUP1,465,11.394164424263122
AMS,2024-01-15 08:00:00,SETUP1,470,13.584861867745078
AMS,2024-01-15 08:00:00,SETUP1,475,16.01526076426738
AMS,2024-01-15 08:00:00,SETUP1,480,18.028121573862737
AMS,2024-01-15 08:00:00,SETUP1,485,23.290506859792064
AMS,2024-01-15 08:00:00,SETUP1,490,21.989722192978935
AMS,2024-01-15 08:00:00,SETUP1,495,28.14091937847255
AMS,2024-01-15 08:00:00,SETUP1,500,28.93305968521877
AMS,2024-01-15 08:00:00,SETUP1,505,36.13048161516833
AMS,2024-01-15 08:00:00,SETUP1,510,35.07330648230965
AMS,2024-01-15 08:00:00,SETUP1,515,41.29620954936189
AMS,2024-01-15 08:00:00,SETUP1,520,45.1520427972982
AMS,2024-01-15 08:00:00,SETUP1,525,47.41159579803295
AMS,2024-01-15 08:00:00,SETUP1,530,44.15951881633114
AMS,2024-01-15 08:00:00,SETUP1,535,50.17222487822957
AMS,2024-01-15 08:00:00,SETUP1,540,51.77060395346263
AMS,2024-01-15 08:00:00,SETUP1,545,46.10951663992082
AMS,2024-01-15 08:00:00,SETUP1,550,48.49804858260736
AMS,2024-01-15 08:00:00,SETUP1,555,46.218891557994795
AMS,2024-01-15 08:00:00,SETUP1,560,48.393700168563
AMS,2024-01-15 08:00:00,SETUP1,565,43.321091892231216
AMS,2024-01-15 08:00:00,SETUP1,570,48.90159236447428
AMS,2024-01-15 08:00:00,SETUP1,575,46.85784684112649
